Time,X,Y,Type
35.226,732,1059, 0
35.234,706,1064, 0
35.242,681,1066, 0
35.25,613,1066, 0
35.258,591,1065, 0
35.266,531,1051, 0
35.274,514,1044, 0
35.282,469,1021, 0
35.29,458,1014, 0
35.298,449,1006, 0
35.306,433,989, 0
35.314,427,981, 0
35.322,421,963, 0
35.33,419,956, 0
35.338,418,949, 0
35.346,418,933, 0
35.354,418,926, 0
35.362,420,909, 0
35.37,423,901, 0
35.378,426,894, 0
35.386,432,878, 0
35.394,436,871, 0
35.402,448,852, 0
35.41,456,845, 0
35.418,463,838, 0
35.426,487,814, 0
35.434,498,806, 0
35.442,530,781, 0
35.45,544,770, 0
35.458,580,742, 0
35.466,592,733, 0
35.474,600,725, 0
35.482,622,706, 0
