Time,X,Y,Type
130.204,781,318,0
130.212,772,324,0
130.219,764,330,0
130.228,755,338,0
130.235,748,347,0
130.244,741,355,0
130.251,739,358,0
130.259,737,362,0
130.267,736,364,0
130.3,736,363,0
130.307,738,362,0
130.315,738,360,0
130.324,738,358,0
130.331,739,358,0
130.339,739,357,0
130.403,740,357,0
130.411,741,356,0
130.419,744,355,0
130.427,747,353,0
130.435,750,352,0
130.443,752,352,0
130.451,753,351,0
130.459,754,351,0
130.467,755,351,0
130.475,756,350,0
130.507,757,350,0
130.523,757,350,0
130.531,759,350,0
130.539,759,350,0
130.547,759,350,1
130.555,761,351,0
130.563,762,352,0
130.571,763,353,0
130.579,765,354,0
130.587,770,355,0
130.595,778,358,0
130.603,795,361,0
130.611,825,367,0
130.619,863,369,0
130.627,902,371,0
130.635,937,371,0
130.643,956,371,0
130.651,968,370,0
130.659,975,367,0
130.667,981,365,0
130.675,985,364,0
130.675,985,364,2
130.683,988,363,0
130.691,990,361,0
130.699,994,357,0
130.707,999,351,0
130.715,1005,344,0
130.723,1013,332,0
130.731,1022,318,0
130.739,1030,297,0
130.747,1037,271,0
130.755,1040,237,0
130.763,1042,196,0
130.771,1042,152,0
130.779,1040,132,0
130.787,1036,96,0
130.795,1036,66,0
130.803,1036,52,0
130.811,1036,39,0
130.819,1036,26,0
130.827,1038,15,0
130.835,1040,8,0
130.843,1041,3,0
130.851,1041,-3,0
130.859,1041,-4,0
130.867,1041,-1,0
130.875,1041,-4,0
130.883,1041,-3,0
130.891,1041,-2,0
130.899,1041,-3,0
130.907,1041,-1,0
130.915,1041,-2,0
130.923,1041,-2,0
130.931,1041,-2,0
130.947,1041,0,0
130.995,1041,-1,0
131.003,1041,-1,0
131.011,1045,-2,0
131.019,1047,-1,0
131.027,1051,-3,0
131.035,1054,-1,0
131.043,1057,-2,0
131.051,1059,0,0
131.083,1060,-1,0
131.091,1060,-1,0
131.099,1060,0,1
131.107,1060,0,0
131.179,1060,0,2
131.323,1060,0,0
131.339,1060,1,0
131.347,1060,1,0
131.379,1060,2,0
131.915,1061,2,0
132.163,1061,2,0
132.171,1061,2,0
132.179,1062,2,0
132.187,1062,1,0
132.195,1063,0,0
132.202,1064,0,0
132.347,1064,0,0
132.355,1064,0,0
132.363,1064,1,0
132.371,1065,1,0
132.379,1065,2,0
132.387,1066,2,0
133.659,1067,2,0
133.667,1068,2,0
133.674,1069,2,0
133.682,1072,2,0
133.69,1074,2,0
133.698,1076,2,0
133.706,1078,2,0
133.714,1079,2,0
133.722,1080,2,0
133.73,1081,2,0
133.738,1081,2,0
133.746,1082,2,0
133.754,1082,2,0
133.762,1083,2,0
